I0,I1,I2,I3
0.111837,0.300000,0.593273,84.599998
0.101544,0.300000,0.593273,84.599998
0.108352,0.300000,0.593273,84.599998
0.092992,0.300000,0.593273,84.599998
0.114212,0.300000,0.593273,84.599998
0.098059,0.300000,0.593273,84.599998
0.096317,0.300000,0.593273,84.599998
0.097900,0.300000,0.593273,84.599998
0.115321,0.300000,0.593273,84.599998
0.114688,0.300000,0.593273,84.599998
0.097109,0.300000,0.593273,84.599998
0.092516,0.300000,0.593273,84.599998
0.107878,0.300000,0.593273,84.599998
0.103285,0.300000,0.593273,84.599998
0.098850,0.300000,0.593273,84.599998
0.101068,0.300000,0.593273,84.599998
0.104236,0.300000,0.593273,84.599998
0.094575,0.300000,0.593273,84.599998
0.104553,0.300000,0.593273,84.599998
0.105819,0.300000,0.593273,84.599998
0.091724,0.300000,0.593273,84.599998
0.097109,0.300000,0.593273,84.599998
0.090616,0.300000,0.593273,84.599998
0.103285,0.300000,0.593273,84.599998
0.102335,0.300000,0.593273,84.599998
0.098059,0.300000,0.593273,84.599998
0.114529,0.300000,0.593273,84.599998
0.108511,0.300000,0.593273,84.599998
0.101068,0.300000,0.593273,84.599998
0.100593,0.300000,0.593273,84.599998
0.097426,0.300000,0.593273,84.599998
0.101068,0.300000,0.593273,84.599998
0.122606,0.300000,0.593273,84.599998
0.098850,0.300000,0.593273,84.599998
0.094734,0.300000,0.593273,84.599998
0.100276,0.300000,0.593273,84.599998
0.111204,0.300000,0.593273,84.599998
0.091090,0.300000,0.593273,84.599998
0.099959,0.300000,0.593273,84.599998
0.095842,0.300000,0.593273,84.599998
0.103919,0.300000,0.593273,84.599998
0.104236,0.300000,0.593273,84.599998
0.099326,0.300000,0.593273,84.599998
0.112154,0.300000,0.593273,84.599998
0.092042,0.300000,0.593273,84.599998
0.097900,0.300000,0.593273,84.599998
0.105977,0.300000,0.593273,84.599998
0.104710,0.300000,0.593273,84.599998
0.113262,0.300000,0.593273,84.599998
0.104077,0.300000,0.593273,84.599998
0.099959,0.300000,0.593273,84.599998
0.092833,0.300000,0.593273,84.599998
0.098534,0.300000,0.593273,84.599998
0.106453,0.300000,0.593273,84.599998
0.101701,0.300000,0.593273,84.599998
0.092675,0.300000,0.593273,84.599998
0.101226,0.300000,0.593273,84.599998
0.091724,0.300000,0.593273,84.599998
0.097584,0.300000,0.593273,84.599998
0.106928,0.300000,0.593273,84.599998
0.094575,0.300000,0.593273,84.599998
0.105819,0.300000,0.593273,84.599998
0.103444,0.300000,0.593273,84.599998
0.101068,0.300000,0.593273,84.599998
0.101068,0.300000,0.593273,84.599998
